donorID,predicted_proba,contact_flag
D100789,0.9822939,MAIL
D108569,0.98628366,MAIL
D101757,0.81474036,DO_NOT_MAIL
D143951,0.29898152,DO_NOT_MAIL
D107102,0.9892512,MAIL
D111014,0.9654538,MAIL
D137752,0.00027573013,DO_NOT_MAIL
D144358,0.8960219,DO_NOT_MAIL
D124514,0.7037504,DO_NOT_MAIL
D103311,0.9305908,DO_NOT_MAIL
D144060,0.01942555,DO_NOT_MAIL
D128133,0.0027032206,DO_NOT_MAIL
D101994,0.8399911,DO_NOT_MAIL
D136426,0.88421595,DO_NOT_MAIL
D128219,0.65463436,DO_NOT_MAIL
D104928,0.9349788,DO_NOT_MAIL
D138999,0.08693355,DO_NOT_MAIL
D118484,0.7646645,DO_NOT_MAIL
D118000,0.9720426,MAIL
D113192,0.85204154,DO_NOT_MAIL
D143537,0.0018214501,DO_NOT_MAIL
D113080,0.85991716,DO_NOT_MAIL
D112140,0.8054332,DO_NOT_MAIL
D135345,0.89230096,DO_NOT_MAIL
D137972,0.0017813898,DO_NOT_MAIL
D114553,0.26938996,DO_NOT_MAIL
D136775,0.14903131,DO_NOT_MAIL
D144146,0.50435233,DO_NOT_MAIL
D142829,0.01766272,DO_NOT_MAIL
D130339,0.8341275,DO_NOT_MAIL
D142848,0.06506621,DO_NOT_MAIL
D131863,0.8846277,DO_NOT_MAIL
D104526,0.9009107,DO_NOT_MAIL
D105255,0.99396163,MAIL
D115762,0.9724357,MAIL
D112460,0.97524184,MAIL
D119099,0.9736867,MAIL
D119667,0.85608035,DO_NOT_MAIL
D100511,0.21440679,DO_NOT_MAIL
D127449,0.80330753,DO_NOT_MAIL
D139447,0.3678985,DO_NOT_MAIL
D139738,0.019927153,DO_NOT_MAIL
D101287,0.9685309,MAIL
D116260,0.93471134,DO_NOT_MAIL
D137623,0.90379035,DO_NOT_MAIL
D133160,0.99169123,MAIL
D135925,0.9244456,DO_NOT_MAIL
D116988,0.9452905,DO_NOT_MAIL
D117021,0.9792474,MAIL
D122096,0.8638606,DO_NOT_MAIL
D116670,0.8225216,DO_NOT_MAIL
D101433,0.96483654,MAIL
D118574,0.9637091,MAIL
D120340,0.026873497,DO_NOT_MAIL
D137092,0.29277852,DO_NOT_MAIL
D134262,0.88971186,DO_NOT_MAIL
D121195,0.93909353,DO_NOT_MAIL
D101716,0.5399626,DO_NOT_MAIL
D108156,0.9212338,DO_NOT_MAIL
D137366,0.002638962,DO_NOT_MAIL
D133589,0.68963706,DO_NOT_MAIL
D105570,0.88971186,DO_NOT_MAIL
D132894,0.8054332,DO_NOT_MAIL
D125068,0.99320257,MAIL
D105218,0.22893168,DO_NOT_MAIL
D105087,0.04682216,DO_NOT_MAIL
D107054,0.15094782,DO_NOT_MAIL
D100637,0.56299716,DO_NOT_MAIL
D137591,0.9329747,DO_NOT_MAIL
D143280,0.02012339,DO_NOT_MAIL
D119869,0.9349788,DO_NOT_MAIL
D131105,0.017601306,DO_NOT_MAIL
D126850,0.8399356,DO_NOT_MAIL
D125507,0.9768689,MAIL
D121197,0.9584709,MAIL
D102947,0.9914443,MAIL
D140832,0.018570539,DO_NOT_MAIL
D114359,0.8545162,DO_NOT_MAIL
D120529,0.97373116,MAIL
D131698,0.98307866,MAIL
D123433,0.9689106,MAIL
D123831,0.93013823,DO_NOT_MAIL
D102523,0.86137545,DO_NOT_MAIL
D130942,0.36774158,DO_NOT_MAIL
D127266,0.9656056,MAIL
D139997,0.83460116,DO_NOT_MAIL
D117958,0.6469854,DO_NOT_MAIL
D105075,0.0061833304,DO_NOT_MAIL
D109244,0.96184963,MAIL
D121524,0.93471134,DO_NOT_MAIL
D127012,0.8167604,DO_NOT_MAIL
D105939,0.98631525,MAIL
D107578,0.07327921,DO_NOT_MAIL
D129093,0.0016364278,DO_NOT_MAIL
D127255,0.96596277,MAIL
D144403,0.0763121,DO_NOT_MAIL
D131984,0.9358564,DO_NOT_MAIL
D128234,0.96184963,MAIL
D111159,0.9006484,DO_NOT_MAIL
D120483,0.9711856,MAIL
D106581,0.967649,MAIL
D135957,0.54785824,DO_NOT_MAIL
D129182,0.11719406,DO_NOT_MAIL
D136383,0.96707946,MAIL
D106099,0.09312213,DO_NOT_MAIL
D114644,0.05526799,DO_NOT_MAIL
D110412,0.29273427,DO_NOT_MAIL
D129155,0.8546097,DO_NOT_MAIL
D134032,0.93013823,DO_NOT_MAIL
D126839,0.9770189,MAIL
D129283,0.9909848,MAIL
D125637,0.94440866,DO_NOT_MAIL
D121702,0.9675739,MAIL
D111087,0.7332227,DO_NOT_MAIL
D117715,0.8892487,DO_NOT_MAIL
D127350,0.98943824,MAIL
D133653,0.5925024,DO_NOT_MAIL
D130857,0.8276394,DO_NOT_MAIL
D140863,0.016068928,DO_NOT_MAIL
D118295,0.9714092,MAIL
D105208,0.9698342,MAIL
D106671,0.93728566,DO_NOT_MAIL
D108257,0.50989306,DO_NOT_MAIL
D142403,0.0667966,DO_NOT_MAIL
D138882,0.0070334584,DO_NOT_MAIL
D101752,0.9735162,MAIL
D125243,0.95690113,MAIL
D124500,0.85934186,DO_NOT_MAIL
D130294,0.9903143,MAIL
D126889,0.0029499203,DO_NOT_MAIL
D130306,0.81131417,DO_NOT_MAIL
D120379,0.40978232,DO_NOT_MAIL
D131295,0.027019208,DO_NOT_MAIL
D109494,0.0038702018,DO_NOT_MAIL
D124470,0.04718064,DO_NOT_MAIL
D121706,0.76219136,DO_NOT_MAIL
D108032,0.082332864,DO_NOT_MAIL
D107151,0.80390793,DO_NOT_MAIL
D101841,0.9747672,MAIL
D116097,0.79660517,DO_NOT_MAIL
D143797,0.02635755,DO_NOT_MAIL
D118450,0.8973301,DO_NOT_MAIL
D117054,0.01981113,DO_NOT_MAIL
D135153,0.90380585,DO_NOT_MAIL
D103528,0.9799463,MAIL
D128949,0.8665668,DO_NOT_MAIL
D139471,0.9669453,MAIL
D118088,0.9917236,MAIL
D126046,0.9302993,DO_NOT_MAIL
D109717,0.8732268,DO_NOT_MAIL
D104615,0.31933388,DO_NOT_MAIL
D141200,0.02789217,DO_NOT_MAIL
D123467,0.005889935,DO_NOT_MAIL
D143904,0.22865471,DO_NOT_MAIL
D140718,0.07274847,DO_NOT_MAIL
D111594,0.7646645,DO_NOT_MAIL
D115678,0.93300116,DO_NOT_MAIL
D120058,0.9306288,DO_NOT_MAIL
D123599,0.88336307,DO_NOT_MAIL
D137543,0.047571298,DO_NOT_MAIL
D135923,0.8597004,DO_NOT_MAIL
D125351,0.9418153,DO_NOT_MAIL
D142734,0.045178037,DO_NOT_MAIL
D105827,0.62193674,DO_NOT_MAIL
D134964,0.21629032,DO_NOT_MAIL
D120855,0.99405515,MAIL
D133660,0.022561882,DO_NOT_MAIL
D142264,0.11311527,DO_NOT_MAIL
D106649,0.91175425,DO_NOT_MAIL
D143944,0.020988649,DO_NOT_MAIL
D130721,0.93806165,DO_NOT_MAIL
D139182,0.14271604,DO_NOT_MAIL
D111148,0.022200448,DO_NOT_MAIL
D108517,0.89608073,DO_NOT_MAIL
D123569,0.95294404,MAIL
D132938,0.7304995,DO_NOT_MAIL
D140351,0.8313015,DO_NOT_MAIL
D141619,0.16040921,DO_NOT_MAIL
D137667,0.072244935,DO_NOT_MAIL
D124985,0.79660517,DO_NOT_MAIL
D102864,0.99181,MAIL
D142220,0.012010367,DO_NOT_MAIL
D131277,0.96632427,MAIL
D109209,0.004875487,DO_NOT_MAIL
D135630,0.8595816,DO_NOT_MAIL
D131571,0.982343,MAIL
D103106,0.9274354,DO_NOT_MAIL
D126814,0.73969823,DO_NOT_MAIL
D136445,0.068294875,DO_NOT_MAIL
D125603,0.9333508,DO_NOT_MAIL
D118167,0.76219136,DO_NOT_MAIL
D120912,0.9859474,MAIL
D109782,0.18751429,DO_NOT_MAIL
D134425,0.9788905,MAIL
D118727,0.7969786,DO_NOT_MAIL
D116533,0.97720313,MAIL
D134830,0.24886306,DO_NOT_MAIL
D133772,0.5925024,DO_NOT_MAIL
D132363,0.5905936,DO_NOT_MAIL
D110765,0.0956952,DO_NOT_MAIL
D128897,0.011490165,DO_NOT_MAIL
D106838,0.039210804,DO_NOT_MAIL
D107502,0.86922854,DO_NOT_MAIL
D135935,0.48083556,DO_NOT_MAIL
D117088,0.5753784,DO_NOT_MAIL
D122179,0.94612527,DO_NOT_MAIL
D113190,0.89545536,DO_NOT_MAIL
D135711,0.0014742096,DO_NOT_MAIL
D122690,0.9548616,MAIL
D122876,0.9738531,MAIL
D131543,0.98287404,MAIL
D130938,0.37157932,DO_NOT_MAIL
D112576,0.98471385,MAIL
D103348,0.8427521,DO_NOT_MAIL
D142806,0.14062761,DO_NOT_MAIL
D113129,0.25236526,DO_NOT_MAIL
D111104,0.6547513,DO_NOT_MAIL
D122233,0.9788836,MAIL
D140234,0.09869256,DO_NOT_MAIL
D144350,0.74183184,DO_NOT_MAIL
D119773,0.6118895,DO_NOT_MAIL
D106231,0.1885642,DO_NOT_MAIL
D125961,0.044117782,DO_NOT_MAIL
D107145,0.992475,MAIL
D129895,0.8852851,DO_NOT_MAIL
D119750,0.90379035,DO_NOT_MAIL
D113196,0.00022997042,DO_NOT_MAIL
D104294,0.20361225,DO_NOT_MAIL
D142508,0.9947714,MAIL
D110194,0.8916998,DO_NOT_MAIL
D118979,0.6747217,DO_NOT_MAIL
D108992,0.13877055,DO_NOT_MAIL
D141740,0.43311498,DO_NOT_MAIL
D131071,0.017438645,DO_NOT_MAIL
D140389,0.043471377,DO_NOT_MAIL
D109720,0.8165528,DO_NOT_MAIL
D124858,0.8545162,DO_NOT_MAIL
D124588,0.32895365,DO_NOT_MAIL
D129512,0.9174485,DO_NOT_MAIL
D127145,0.81474036,DO_NOT_MAIL
D124531,0.028195858,DO_NOT_MAIL
D106464,0.039407298,DO_NOT_MAIL
D107515,0.8555772,DO_NOT_MAIL
D114394,0.92848164,DO_NOT_MAIL
D103464,0.96617204,MAIL
D137215,0.11740955,DO_NOT_MAIL
D102078,0.9062348,DO_NOT_MAIL
D110982,0.004736063,DO_NOT_MAIL
D132577,0.012505677,DO_NOT_MAIL
D115944,0.8545162,DO_NOT_MAIL
D132228,0.9779025,MAIL
D114362,0.95741403,MAIL
D105341,0.6547513,DO_NOT_MAIL
D103090,0.046822257,DO_NOT_MAIL
D102456,0.1444582,DO_NOT_MAIL
D136106,0.18715186,DO_NOT_MAIL
D125101,0.9062348,DO_NOT_MAIL
D103626,0.9003407,DO_NOT_MAIL
D135341,0.07253056,DO_NOT_MAIL
D140634,0.23507641,DO_NOT_MAIL
D141451,0.025960974,DO_NOT_MAIL
D128076,0.64596087,DO_NOT_MAIL
D137358,0.005656828,DO_NOT_MAIL
D136225,0.6469854,DO_NOT_MAIL
D118357,0.9926387,MAIL
D127811,0.15371509,DO_NOT_MAIL
D138136,0.9781473,MAIL
D129713,0.7819923,DO_NOT_MAIL
D133427,0.010027823,DO_NOT_MAIL
D142684,0.9594293,MAIL
D139974,0.015530498,DO_NOT_MAIL
D128114,0.0011666641,DO_NOT_MAIL
D126479,0.94245774,DO_NOT_MAIL
D133414,0.7889207,DO_NOT_MAIL
D141936,0.007371074,DO_NOT_MAIL
D102160,0.8434482,DO_NOT_MAIL
D105935,0.92095155,DO_NOT_MAIL
D119747,0.18414882,DO_NOT_MAIL
D107050,0.01772777,DO_NOT_MAIL
D103843,0.26300365,DO_NOT_MAIL
D123751,0.9642926,MAIL
D128504,0.85608035,DO_NOT_MAIL
D106696,0.091522515,DO_NOT_MAIL
D111443,0.6640927,DO_NOT_MAIL
D114519,0.6640927,DO_NOT_MAIL
D141827,0.019052139,DO_NOT_MAIL
D102599,0.08154787,DO_NOT_MAIL
D108696,0.84686965,DO_NOT_MAIL
D113442,0.83709186,DO_NOT_MAIL
D141363,0.007890223,DO_NOT_MAIL
D143104,0.0054203537,DO_NOT_MAIL
D101949,0.6506156,DO_NOT_MAIL
D138106,0.30936873,DO_NOT_MAIL
D140920,0.97945124,MAIL
D129380,0.96551836,MAIL
D112855,0.02861527,DO_NOT_MAIL
D138682,0.045536634,DO_NOT_MAIL
D114636,0.014161272,DO_NOT_MAIL
D118116,0.88971186,DO_NOT_MAIL
D131535,0.89230096,DO_NOT_MAIL
D114191,0.334851,DO_NOT_MAIL
D113553,0.0020548492,DO_NOT_MAIL
D123505,0.973722,MAIL
D133919,0.064916186,DO_NOT_MAIL
D112296,0.67464757,DO_NOT_MAIL
D132175,0.6226235,DO_NOT_MAIL
D115955,0.96551836,MAIL
D113954,0.96828955,MAIL
D114447,0.9356742,DO_NOT_MAIL
D136886,0.00014061198,DO_NOT_MAIL
D131492,0.49427056,DO_NOT_MAIL
D138486,0.48109448,DO_NOT_MAIL
D102306,0.8780275,DO_NOT_MAIL
D127334,0.8881598,DO_NOT_MAIL
D144605,0.037036207,DO_NOT_MAIL
D115578,0.12157471,DO_NOT_MAIL
D126826,0.21988787,DO_NOT_MAIL
D112723,0.6106876,DO_NOT_MAIL
D105706,0.6240543,DO_NOT_MAIL
D107367,0.98014534,MAIL
D123201,0.19623986,DO_NOT_MAIL
D131781,0.010896647,DO_NOT_MAIL
D101437,0.9583937,MAIL
D107005,0.015563412,DO_NOT_MAIL
D101898,0.9908025,MAIL
D100085,0.010628692,DO_NOT_MAIL
D143755,0.00033112644,DO_NOT_MAIL
D112065,0.92532676,DO_NOT_MAIL
D133415,0.7480704,DO_NOT_MAIL
D117595,0.9748004,MAIL
D105436,0.00022522493,DO_NOT_MAIL
D117484,0.9549817,MAIL
D115013,0.5391542,DO_NOT_MAIL
D123153,0.015752591,DO_NOT_MAIL
D143270,0.98750824,MAIL
D131787,0.9788103,MAIL
D123511,0.93161374,DO_NOT_MAIL
D126234,0.718007,DO_NOT_MAIL
D134297,0.0036256178,DO_NOT_MAIL
D109960,0.6469854,DO_NOT_MAIL
D102621,0.9349788,DO_NOT_MAIL
D143663,0.002657229,DO_NOT_MAIL
D139924,0.016240152,DO_NOT_MAIL
D108791,0.9347862,DO_NOT_MAIL
D110086,0.96626717,MAIL
D113575,0.011385541,DO_NOT_MAIL
D139969,0.18075837,DO_NOT_MAIL
D136000,0.47545454,DO_NOT_MAIL
D110648,0.9916916,MAIL
D107865,0.0700658,DO_NOT_MAIL
D129542,0.1567649,DO_NOT_MAIL
D116609,0.017933201,DO_NOT_MAIL
D132585,0.058783364,DO_NOT_MAIL
D106319,0.117654,DO_NOT_MAIL
D106031,0.46400115,DO_NOT_MAIL
D105499,0.041897025,DO_NOT_MAIL
D111337,0.007226644,DO_NOT_MAIL
D120197,0.9658242,MAIL
D128139,0.0030416155,DO_NOT_MAIL
D111364,0.0010212599,DO_NOT_MAIL
D101877,0.9913448,MAIL
D101995,0.020404384,DO_NOT_MAIL
D107425,0.82066286,DO_NOT_MAIL
D138505,0.0016380278,DO_NOT_MAIL
D103289,0.86137646,DO_NOT_MAIL
D115232,0.013370526,DO_NOT_MAIL
D120729,0.76365095,DO_NOT_MAIL
D103366,0.9662585,MAIL
D140159,0.19370803,DO_NOT_MAIL
D116056,0.9748004,MAIL
D134113,0.43265626,DO_NOT_MAIL
D137192,0.08082516,DO_NOT_MAIL
D124192,0.07839398,DO_NOT_MAIL
D128545,0.0043813046,DO_NOT_MAIL
D102683,0.052549895,DO_NOT_MAIL
D144141,0.2919886,DO_NOT_MAIL
D125813,0.98946196,MAIL
D115205,0.00459705,DO_NOT_MAIL
D105818,0.657778,DO_NOT_MAIL
D132977,0.14032179,DO_NOT_MAIL
D100131,0.23432696,DO_NOT_MAIL
D132462,0.001526492,DO_NOT_MAIL
D136324,0.83528817,DO_NOT_MAIL
D104608,0.3127211,DO_NOT_MAIL
D141779,0.06911489,DO_NOT_MAIL
D114008,0.75467706,DO_NOT_MAIL
D128934,0.009900919,DO_NOT_MAIL
D119054,0.9762113,MAIL
D143822,0.009224026,DO_NOT_MAIL
D120271,0.040530965,DO_NOT_MAIL
D113636,0.89608073,DO_NOT_MAIL
D100584,0.7304995,DO_NOT_MAIL
D115732,0.96176934,MAIL
D113201,0.33857346,DO_NOT_MAIL
D138698,0.9617312,MAIL
D101360,0.9258597,DO_NOT_MAIL
D108039,0.9306288,DO_NOT_MAIL
D123837,0.24697387,DO_NOT_MAIL
D111404,0.92709506,DO_NOT_MAIL
D137792,0.46340913,DO_NOT_MAIL
D104067,0.1504872,DO_NOT_MAIL
D114657,0.22687677,DO_NOT_MAIL
D128067,0.51592714,DO_NOT_MAIL
D117995,0.114873365,DO_NOT_MAIL
D104026,0.19649795,DO_NOT_MAIL
D119231,0.5000924,DO_NOT_MAIL
D119687,0.7177682,DO_NOT_MAIL
D130618,0.29273427,DO_NOT_MAIL
D115480,0.6106876,DO_NOT_MAIL
D122807,0.967649,MAIL
D144139,0.0003072002,DO_NOT_MAIL
D143372,0.9111417,DO_NOT_MAIL
D111806,0.3856706,DO_NOT_MAIL
D107353,0.104172714,DO_NOT_MAIL
D103285,0.93025255,DO_NOT_MAIL
D126676,0.002421098,DO_NOT_MAIL
D121993,0.8472271,DO_NOT_MAIL
D100004,0.9443709,DO_NOT_MAIL
D136887,0.69809425,DO_NOT_MAIL
D128703,0.96176934,MAIL
D102105,0.07192842,DO_NOT_MAIL
D108617,0.6469854,DO_NOT_MAIL
D126523,0.81474036,DO_NOT_MAIL
D105053,0.9337538,DO_NOT_MAIL
D143473,0.30720353,DO_NOT_MAIL
D135560,0.9793005,MAIL
D141542,0.027062736,DO_NOT_MAIL
D139889,0.39955312,DO_NOT_MAIL
D115852,0.99300885,MAIL
D122820,0.8211532,DO_NOT_MAIL
D123586,0.88891864,DO_NOT_MAIL
D115496,0.9462837,DO_NOT_MAIL
D138807,0.01762538,DO_NOT_MAIL
D103770,0.0034196621,DO_NOT_MAIL
D136538,2.8946888e-05,DO_NOT_MAIL
D125136,0.00020139744,DO_NOT_MAIL
D135888,0.5301392,DO_NOT_MAIL
D107437,0.14352274,DO_NOT_MAIL
D138383,0.06779951,DO_NOT_MAIL
D131777,0.17373522,DO_NOT_MAIL
D132496,0.93161374,DO_NOT_MAIL
D132848,0.24784227,DO_NOT_MAIL
D109943,0.8546097,DO_NOT_MAIL
D121967,0.82409686,DO_NOT_MAIL
D129751,0.9347862,DO_NOT_MAIL
D139875,0.9780553,MAIL
D141746,0.20923941,DO_NOT_MAIL
D100750,0.8234934,DO_NOT_MAIL
D121146,0.06361915,DO_NOT_MAIL
D126191,0.9266282,DO_NOT_MAIL
D110211,0.47663742,DO_NOT_MAIL
D114045,0.7819923,DO_NOT_MAIL
D142271,0.6570015,DO_NOT_MAIL
D109179,0.93806165,DO_NOT_MAIL
D126622,0.0009339053,DO_NOT_MAIL
D134987,0.0059276656,DO_NOT_MAIL
D134511,0.6690531,DO_NOT_MAIL
D141823,0.13759676,DO_NOT_MAIL
D130582,0.027885485,DO_NOT_MAIL
D127917,0.03244779,DO_NOT_MAIL
D120142,0.90447336,DO_NOT_MAIL
D105397,0.98286635,MAIL
D122229,0.9782883,MAIL
D142941,0.13115877,DO_NOT_MAIL
D105203,0.98307866,MAIL
D113646,0.6765861,DO_NOT_MAIL
D111058,0.22093585,DO_NOT_MAIL
D131911,0.958693,MAIL
D112493,0.48708087,DO_NOT_MAIL
D129833,0.9834034,MAIL
D122196,0.56299716,DO_NOT_MAIL
D109786,0.969633,MAIL
D144482,0.8492089,DO_NOT_MAIL
D104892,0.68927664,DO_NOT_MAIL
D140327,0.2981936,DO_NOT_MAIL
D135718,0.85991716,DO_NOT_MAIL
D115994,0.62353516,DO_NOT_MAIL
D116827,0.9669261,MAIL
D139158,0.18942314,DO_NOT_MAIL
D122245,0.95294404,MAIL
D140621,0.11051807,DO_NOT_MAIL
D123380,0.0020121213,DO_NOT_MAIL
D144410,0.019055458,DO_NOT_MAIL
D121964,0.00031305992,DO_NOT_MAIL
D123394,0.025677525,DO_NOT_MAIL
D141580,0.014935457,DO_NOT_MAIL
D119179,0.9332782,DO_NOT_MAIL
D135807,0.03900716,DO_NOT_MAIL
D100418,0.94245774,DO_NOT_MAIL
D113546,0.90179396,DO_NOT_MAIL
D134594,0.9747672,MAIL
D109892,0.992475,MAIL
D141265,0.08092121,DO_NOT_MAIL
D133845,0.7037504,DO_NOT_MAIL
D109964,0.1798748,DO_NOT_MAIL
D109592,0.9334319,DO_NOT_MAIL
D100489,0.9810497,MAIL
D128731,0.96996504,MAIL
D115656,0.9009107,DO_NOT_MAIL
D125871,0.3127211,DO_NOT_MAIL
D121381,0.9930816,MAIL
D124820,0.93806165,DO_NOT_MAIL
D108435,0.9554237,MAIL
D105168,0.9708299,MAIL
D118794,0.8291849,DO_NOT_MAIL
D132682,0.561406,DO_NOT_MAIL
D141306,0.013635828,DO_NOT_MAIL
D127768,0.6555909,DO_NOT_MAIL
D105235,0.7861124,DO_NOT_MAIL
D126146,0.9922355,MAIL
D109065,0.019763837,DO_NOT_MAIL
D113625,0.025172172,DO_NOT_MAIL
D128220,0.05946072,DO_NOT_MAIL
D117233,0.9317418,DO_NOT_MAIL
D124249,0.9274354,DO_NOT_MAIL
D141615,0.8986892,DO_NOT_MAIL
D137265,0.8961919,DO_NOT_MAIL
D111530,0.89545536,DO_NOT_MAIL
D123457,0.96245515,MAIL
D112299,0.97908825,MAIL
D142106,0.057054028,DO_NOT_MAIL
D114750,0.21613288,DO_NOT_MAIL
D130397,0.9768689,MAIL
